年齢,性別,婚姻ステータス,部署,職種,給料,職位,勤続年数,勤務企業数,ストックオプション,昇給率,人事評価,残業,出張頻度,家からの距離,教育レベル,教育分野,昨年の研修受講回数,仕事への関与度,仕事満足度,職場環境満足度,人関関係満足度,ワークライフバランス,離職,入社日,退社日
29,女性,独身,研究開発,ラボ技術者,4193,2,10,0,0,12,3,TRUE,たまに,15,2,ライフサイエンス,3,2,3,4,4,3,FALSE,2008-05-31,
31,男性,離婚,研究開発,リサーチサイエンティスト,2911,1,5,1,1,17,3,FALSE,たまに,26,1,ライフサイエンス,1,3,3,1,4,2,FALSE,2012-07-02,
34,男性,離婚,研究開発,ラボ技術者,2661,1,3,0,1,11,3,FALSE,たまに,19,2,医療,2,3,4,2,3,3,FALSE,2015-10-25,
28,男性,独身,研究開発,ラボ技術者,2028,1,6,5,0,14,3,TRUE,たまに,24,3,ライフサイエンス,4,2,3,3,2,3,TRUE,2011-02-14,2015-02-14
29,女性,離婚,研究開発,製造ディレクター,9980,3,10,1,1,11,3,FALSE,たまに,21,4,ライフサイエンス,1,4,1,2,3,3,FALSE,2007-02-15,
32,男性,離婚,研究開発,リサーチサイエンティスト,3298,1,7,0,2,12,3,TRUE,たまに,5,2,ライフサイエンス,5,4,2,1,4,2,FALSE,2011-11-14,
22,男性,離婚,研究開発,ラボ技術者,2935,1,1,1,2,13,3,TRUE,なし,16,2,医療,2,4,4,4,2,2,FALSE,2016-12-24,
53,女性,既婚,営業,マネージャー,15427,4,31,2,0,16,3,FALSE,たまに,2,4,ライフサイエンス,3,2,4,1,3,3,FALSE,1992-01-24,
38,男性,独身,研究開発,リサーチサイエンティスト,3944,1,6,5,0,11,3,TRUE,たまに,2,3,ライフサイエンス,3,3,4,4,3,3,FALSE,2014-09-17,
24,女性,離婚,研究開発,製造ディレクター,4011,2,5,0,1,18,3,FALSE,なし,11,2,その他,5,4,3,1,4,2,FALSE,2013-11-02,
36,男性,独身,営業,営業担当,3407,1,10,7,0,23,4,FALSE,たまに,9,4,ライフサイエンス,4,2,1,3,2,3,TRUE,2009-06-22,2014-11-15
34,女性,独身,研究開発,リサーチディレクター,11994,3,13,0,0,11,3,FALSE,たまに,7,4,ライフサイエンス,4,3,2,1,3,3,FALSE,2005-07-18,
21,男性,独身,研究開発,リサーチサイエンティスト,1232,1,0,1,0,14,3,FALSE,たまに,15,2,ライフサイエンス,6,3,4,3,4,3,FALSE,2017-07-27,
34,男性,独身,研究開発,リサーチサイエンティスト,2960,1,8,2,0,11,3,FALSE,たまに,6,1,医療,2,3,1,2,3,3,TRUE,2010-11-14,2015-05-21
53,女性,離婚,研究開発,マネージャー,19094,5,26,4,1,11,3,FALSE,たまに,5,3,その他,3,3,3,3,4,2,FALSE,2003-02-27,
32,女性,独身,研究開発,リサーチサイエンティスト,3919,1,10,1,0,22,4,TRUE,頻繁,16,1,ライフサイエンス,5,1,1,2,2,3,TRUE,1998-01-11,2008-01-31
42,男性,既婚,営業,営業幹部,6825,2,10,0,1,11,3,FALSE,たまに,8,4,マーケティング,2,3,2,3,4,3,FALSE,2008-06-13,
44,女性,既婚,研究開発,ヘルスケア担当,10248,3,24,3,1,14,3,FALSE,たまに,7,4,医療,4,2,4,1,4,3,FALSE,1995-04-26,
46,女性,独身,営業,マネージャー,18947,5,22,3,0,12,3,FALSE,たまに,2,4,マーケティング,2,3,1,2,4,2,FALSE,2015-05-07,
33,男性,独身,研究開発,ラボ技術者,2496,1,7,4,0,11,3,FALSE,たまに,2,3,医療,3,3,4,3,4,3,FALSE,2016-05-04,
44,男性,既婚,研究開発,ヘルスケア担当,6465,2,9,2,0,13,3,TRUE,たまに,10,4,その他,5,3,4,4,4,4,FALSE,2013-07-13,
30,男性,独身,研究開発,ラボ技術者,2206,1,10,1,0,13,3,FALSE,たまに,9,2,医療,5,2,3,4,1,3,FALSE,2007-01-13,
39,男性,既婚,営業,営業担当,2086,2,19,3,1,14,3,FALSE,たまに,5,3,技術系,6,3,4,4,3,4,TRUE,2008-10-10,2010-03-06
24,男性,既婚,研究開発,リサーチサイエンティスト,2293,1,6,2,1,16,3,TRUE,たまに,1,3,医療,2,3,4,2,1,2,TRUE,2015-02-24,2017-12-30
43,女性,離婚,研究開発,リサーチサイエンティスト,2645,1,6,1,2,12,3,FALSE,たまに,2,2,医療,3,4,3,4,4,2,FALSE,2012-03-31,
50,男性,既婚,営業,営業担当,2683,1,3,1,0,14,3,TRUE,たまに,3,2,マーケティング,2,2,3,1,3,3,TRUE,2006-03-01,2009-09-11
35,女性,既婚,営業,営業担当,2014,1,2,1,0,13,3,FALSE,たまに,2,3,マーケティング,3,3,4,4,1,3,FALSE,2015-02-17,
36,女性,既婚,研究開発,リサーチサイエンティスト,3419,1,6,9,1,14,3,TRUE,たまに,5,4,ライフサイエンス,3,2,1,2,4,4,FALSE,2016-07-15,
33,女性,既婚,営業,営業幹部,5376,2,10,2,2,19,3,FALSE,頻繁,1,3,ライフサイエンス,3,4,1,3,1,3,FALSE,2012-12-29,
35,男性,離婚,研究開発,ラボ技術者,1951,1,1,1,1,12,3,FALSE,たまに,4,2,その他,3,3,4,3,3,3,FALSE,2016-04-10,
27,女性,離婚,研究開発,ラボ技術者,2341,1,1,1,1,13,3,FALSE,たまに,2,4,ライフサイエンス,6,3,1,4,4,3,FALSE,2016-04-15,
26,男性,独身,研究開発,ラボ技術者,2293,1,1,1,0,12,3,FALSE,たまに,25,3,ライフサイエンス,2,1,3,1,3,2,TRUE,2012-08-02,2013-10-09
27,男性,独身,営業,営業幹部,8726,3,9,1,0,15,3,FALSE,頻繁,8,3,ライフサイエンス,0,3,3,4,4,3,FALSE,2008-05-10,
30,女性,独身,研究開発,ラボ技術者,4011,2,12,1,0,23,4,FALSE,頻繁,1,2,医療,2,3,4,3,4,3,FALSE,2005-06-18,
41,女性,既婚,研究開発,リサーチディレクター,19545,5,23,1,0,12,3,FALSE,たまに,12,3,技術系,0,3,3,2,4,3,TRUE,1990-03-10,2012-07-09
34,男性,独身,営業,営業幹部,4568,2,10,0,0,20,4,FALSE,なし,23,4,マーケティング,2,3,3,2,3,3,FALSE,2008-05-13,
37,男性,既婚,研究開発,リサーチサイエンティスト,3022,1,8,4,0,21,4,FALSE,たまに,19,2,ライフサイエンス,1,3,2,2,1,3,FALSE,2016-03-04,
46,男性,独身,営業,営業幹部,5772,2,14,4,0,21,4,TRUE,頻繁,5,4,マーケティング,4,3,4,1,3,3,FALSE,2008-04-17,
35,男性,既婚,研究開発,ラボ技術者,2269,1,1,1,0,19,3,FALSE,たまに,8,1,ライフサイエンス,2,4,4,4,4,3,FALSE,2016-08-27,
48,男性,独身,研究開発,ラボ技術者,5381,3,23,9,0,13,3,TRUE,たまに,1,2,ライフサイエンス,2,2,3,1,4,3,TRUE,2008-04-22,2009-06-08
28,男性,独身,研究開発,ラボ技術者,3441,1,2,1,0,13,3,TRUE,たまに,5,4,技術系,3,3,3,3,3,2,TRUE,2012-03-29,2014-08-18
44,女性,離婚,営業,営業幹部,5454,2,9,5,1,21,4,TRUE,たまに,1,5,マーケティング,2,3,1,2,3,2,FALSE,2013-01-27,
35,男性,既婚,研究開発,ヘルスケア担当,9884,3,10,2,1,13,3,TRUE,なし,11,2,医療,3,2,1,3,3,3,FALSE,2013-03-14,
26,女性,既婚,営業,営業幹部,4157,2,5,7,1,19,3,TRUE,たまに,23,3,マーケティング,2,2,4,3,3,2,FALSE,2015-03-31,
33,女性,独身,研究開発,リサーチディレクター,13458,3,15,1,0,12,3,TRUE,頻繁,1,2,ライフサイエンス,1,3,4,1,3,3,FALSE,2002-01-17,
35,男性,既婚,営業,営業幹部,9069,3,9,1,1,22,4,FALSE,頻繁,18,5,ライフサイエンス,3,3,1,2,4,2,FALSE,2008-01-04,
35,女性,既婚,研究開発,ラボ技術者,4014,1,4,3,1,15,3,TRUE,たまに,23,4,医療,3,3,1,3,3,3,FALSE,2015-05-25,
31,男性,離婚,研究開発,ラボ技術者,5915,2,10,3,1,22,4,FALSE,たまに,7,4,ライフサイエンス,3,3,4,4,4,2,FALSE,2010-12-22,
37,男性,離婚,研究開発,製造ディレクター,5993,2,7,1,1,18,3,FALSE,たまに,1,4,ライフサイエンス,2,2,3,1,3,4,FALSE,2010-09-01,
32,男性,既婚,研究開発,製造ディレクター,6162,2,9,1,1,22,4,TRUE,たまに,1,3,医療,3,3,4,1,2,3,FALSE,2008-09-22,
38,女性,独身,研究開発,ラボ技術者,2406,2,10,1,0,11,3,FALSE,頻繁,29,5,ライフサイエンス,2,3,4,4,4,3,FALSE,2007-11-20,
50,女性,離婚,研究開発,リサーチディレクター,18740,5,29,5,1,12,3,TRUE,たまに,7,2,医療,2,2,3,2,4,2,FALSE,1990-12-17,
59,女性,独身,営業,営業幹部,7637,3,28,7,0,11,3,FALSE,たまに,25,3,ライフサイエンス,3,3,1,1,4,2,FALSE,1996-08-19,
36,女性,離婚,研究開発,ヘルスケア担当,10096,3,17,1,3,13,3,FALSE,たまに,8,3,技術系,2,3,3,3,2,3,FALSE,2000-08-31,
55,女性,離婚,研究開発,マネージャー,14756,4,21,2,3,14,3,TRUE,たまに,8,3,医療,2,3,3,4,3,3,FALSE,2012-10-30,
36,男性,独身,研究開発,製造ディレクター,6499,2,6,1,0,13,3,FALSE,頻繁,11,3,ライフサイエンス,3,2,2,2,3,3,FALSE,2011-05-20,
45,男性,離婚,研究開発,リサーチサイエンティスト,9724,3,25,2,1,17,3,FALSE,たまに,7,3,ライフサイエンス,2,3,1,2,3,3,FALSE,2016-08-09,
35,男性,既婚,研究開発,リサーチサイエンティスト,2194,1,5,4,1,13,3,FALSE,頻繁,1,3,医療,2,3,1,2,4,2,FALSE,2014-01-18,
36,男性,既婚,研究開発,リサーチサイエンティスト,3388,1,2,0,1,17,3,TRUE,たまに,9,3,医療,0,2,3,4,1,2,TRUE,2008-06-09,2010-02-02
59,女性,独身,営業,営業幹部,5473,2,20,7,0,11,3,FALSE,頻繁,1,1,ライフサイエンス,2,2,3,1,4,2,FALSE,2013-09-03,
29,男性,既婚,研究開発,リサーチサイエンティスト,2703,1,6,0,1,23,4,FALSE,たまに,2,3,ライフサイエンス,3,3,2,3,4,3,FALSE,2012-10-21,
31,男性,独身,研究開発,リサーチサイエンティスト,2501,1,1,1,0,17,3,FALSE,たまに,1,4,医療,4,3,2,3,2,3,FALSE,2016-11-20,
32,男性,既婚,研究開発,リサーチサイエンティスト,6220,2,10,1,2,17,3,FALSE,たまに,1,3,ライフサイエンス,3,3,2,2,2,3,FALSE,2007-01-03,
36,女性,既婚,研究開発,ラボ技術者,3038,1,5,3,0,12,3,FALSE,たまに,6,3,ライフサイエンス,3,4,4,2,2,3,FALSE,2016-08-16,
31,女性,独身,研究開発,製造ディレクター,4424,2,11,1,0,23,4,FALSE,たまに,8,4,ライフサイエンス,2,3,4,3,4,3,FALSE,2006-06-10,
35,男性,独身,営業,営業幹部,4312,2,16,0,0,14,3,FALSE,たまに,1,4,マーケティング,2,2,1,3,2,3,FALSE,2002-04-09,
45,男性,既婚,研究開発,リサーチディレクター,13245,3,17,4,0,14,3,TRUE,たまに,6,4,その他,3,3,1,4,2,4,FALSE,2017-02-17,
37,男性,独身,研究開発,リサーチディレクター,13664,3,16,4,0,13,3,FALSE,たまに,7,4,医療,3,3,3,1,1,4,FALSE,2012-06-06,
46,男性,離婚,人事,人事,5021,2,16,8,1,22,4,TRUE,たまに,5,2,医療,2,3,2,2,4,3,FALSE,2013-12-28,
30,男性,既婚,研究開発,ラボ技術者,5126,2,10,1,2,12,3,TRUE,たまに,1,1,ライフサイエンス,1,2,4,4,3,2,FALSE,2007-02-05,
35,男性,独身,研究開発,リサーチサイエンティスト,2859,1,6,1,0,18,3,FALSE,たまに,1,3,医療,3,2,3,2,1,3,FALSE,2011-03-27,
55,男性,既婚,営業,営業幹部,10239,3,24,3,1,14,3,FALSE,たまに,1,2,ライフサイエンス,4,3,4,1,4,3,FALSE,2016-08-15,
38,女性,離婚,研究開発,リサーチサイエンティスト,5329,2,17,7,3,12,3,TRUE,なし,6,3,医療,3,1,4,2,4,3,FALSE,2004-11-28,
34,男性,既婚,研究開発,製造ディレクター,4325,2,5,1,0,15,3,FALSE,たまに,1,2,医療,2,3,2,1,3,3,FALSE,2012-12-14,
56,男性,独身,研究開発,製造ディレクター,7260,3,37,4,0,11,3,FALSE,たまに,7,3,ライフサイエンス,3,1,4,4,1,2,FALSE,2011-03-08,
23,男性,離婚,営業,営業担当,2322,1,3,3,1,13,3,FALSE,たまに,2,1,技術系,3,3,1,3,3,3,FALSE,2017-03-05,
51,男性,既婚,研究開発,ラボ技術者,2075,1,10,3,2,23,4,FALSE,たまに,9,4,ライフサイエンス,4,3,4,4,2,3,FALSE,2013-05-07,
30,男性,既婚,研究開発,ヘルスケア担当,4152,2,11,1,3,19,3,FALSE,たまに,2,3,ライフサイエンス,3,2,4,3,1,3,FALSE,2006-11-14,
46,男性,独身,営業,営業幹部,9619,3,9,1,0,16,3,FALSE,たまに,9,2,医療,3,2,4,3,4,3,TRUE,2005-11-21,2015-03-26
40,男性,既婚,研究開発,ヘルスケア担当,13503,4,22,1,1,22,4,FALSE,頻繁,1,4,ライフサイエンス,3,2,2,3,4,2,FALSE,1995-04-10,
51,男性,独身,営業,営業幹部,5441,2,11,0,0,22,4,TRUE,たまに,21,4,マーケティング,2,3,4,3,4,1,FALSE,2007-02-05,
30,女性,離婚,営業,営業幹部,5209,2,11,1,3,12,3,TRUE,たまに,4,2,医療,4,2,2,3,2,2,FALSE,2006-04-22,
46,男性,既婚,研究開発,ヘルスケア担当,10673,3,21,2,1,13,3,TRUE,頻繁,1,3,医療,5,2,1,3,3,2,FALSE,2007-10-06,
32,男性,独身,営業,営業幹部,5010,2,12,1,0,16,3,FALSE,たまに,6,4,医療,0,3,3,2,1,3,FALSE,2006-05-11,
54,女性,既婚,研究開発,リサーチディレクター,13549,3,16,9,1,12,3,FALSE,たまに,2,4,技術系,5,3,3,1,1,1,FALSE,2013-09-21,
24,女性,既婚,営業,営業幹部,4999,2,4,0,1,21,4,FALSE,たまに,3,2,その他,2,3,3,1,1,2,FALSE,2014-01-17,
28,男性,既婚,営業,営業幹部,4221,2,5,1,0,15,3,FALSE,なし,4,3,医療,3,3,3,2,2,4,FALSE,2012-11-04,
58,男性,独身,営業,営業幹部,13872,4,38,0,0,13,3,FALSE,たまに,10,4,医療,1,3,3,4,3,2,FALSE,1980-08-01,
44,男性,既婚,研究開発,ラボ技術者,2042,2,17,4,1,12,3,FALSE,なし,23,3,医療,3,3,2,2,3,4,FALSE,2014-10-02,
37,男性,離婚,人事,人事,2073,1,7,4,0,22,4,TRUE,たまに,6,4,人事,3,3,1,3,4,3,TRUE,2014-04-03,2017-05-07
32,男性,独身,研究開発,リサーチサイエンティスト,2956,1,1,1,0,13,3,FALSE,たまに,1,1,ライフサイエンス,2,3,1,4,4,3,FALSE,2016-03-05,
20,女性,独身,研究開発,ラボ技術者,2926,1,1,1,0,18,3,TRUE,頻繁,6,3,ライフサイエンス,5,2,4,4,2,3,TRUE,2015-03-29,2016-10-06
34,女性,独身,研究開発,リサーチサイエンティスト,4809,2,16,1,0,14,3,FALSE,たまに,6,4,その他,3,3,3,1,3,3,FALSE,2001-05-03,
37,男性,離婚,研究開発,ヘルスケア担当,5163,2,17,5,1,14,3,FALSE,なし,2,2,ライフサイエンス,2,2,4,3,4,4,FALSE,2016-08-05,
59,女性,既婚,人事,マネージャー,18844,5,30,9,1,21,4,FALSE,なし,2,4,人事,3,2,4,3,4,3,FALSE,2014-02-28,
50,女性,既婚,研究開発,リサーチディレクター,18172,5,28,3,0,19,3,TRUE,頻繁,1,3,ライフサイエンス,1,3,2,1,1,2,FALSE,2009-04-07,
25,男性,独身,営業,営業幹部,5744,2,6,1,0,11,3,TRUE,たまに,5,3,マーケティング,1,2,3,3,4,3,TRUE,2010-08-09,2016-12-13
25,男性,既婚,研究開発,リサーチサイエンティスト,2889,1,2,1,2,11,3,FALSE,たまに,7,1,医療,2,2,4,4,3,3,FALSE,2015-01-20,
22,女性,独身,研究開発,ラボ技術者,2871,1,1,1,0,15,3,FALSE,たまに,15,3,医療,5,3,4,2,3,3,FALSE,2017-05-10,
51,女性,独身,研究開発,ヘルスケア担当,7484,3,23,3,0,20,4,FALSE,頻繁,1,4,医療,1,2,1,1,3,2,FALSE,2004-12-19,
34,男性,独身,研究開発,ラボ技術者,6074,2,9,1,0,24,4,TRUE,頻繁,7,3,ライフサイエンス,3,1,3,1,4,3,TRUE,2000-09-01,2010-04-07
54,女性,独身,人事,マネージャー,17328,4,23,2,0,12,3,TRUE,なし,26,3,人事,3,4,4,4,3,3,FALSE,2012-08-03,
24,男性,既婚,研究開発,ラボ技術者,2774,1,6,0,1,12,3,FALSE,たまに,18,1,ライフサイエンス,2,3,3,2,3,3,FALSE,2012-12-04,
34,女性,離婚,研究開発,リサーチサイエンティスト,4505,2,12,6,1,15,3,FALSE,たまに,6,4,ライフサイエンス,3,2,2,3,3,3,FALSE,2016-06-22,
37,男性,独身,営業,営業幹部,7428,3,12,2,0,12,3,FALSE,たまに,3,3,ライフサイエンス,3,3,4,3,1,3,FALSE,2012-01-16,
34,女性,独身,研究開発,マネージャー,11631,3,14,2,0,12,3,FALSE,たまに,5,3,医療,6,2,1,3,4,3,FALSE,2006-04-18,
36,女性,既婚,営業,営業幹部,9738,3,10,0,1,14,3,FALSE,頻繁,11,2,技術系,6,3,4,2,3,3,FALSE,2008-06-13,
36,女性,離婚,研究開発,ラボ技術者,2835,1,7,5,1,22,4,FALSE,たまに,3,2,ライフサイエンス,2,3,4,1,1,3,FALSE,2016-10-05,
43,男性,既婚,営業,マネージャー,16959,4,25,1,2,12,3,TRUE,頻繁,26,2,ライフサイエンス,3,3,4,3,4,4,FALSE,1992-03-23,
30,男性,離婚,研究開発,リサーチサイエンティスト,2613,1,10,1,3,25,4,FALSE,頻繁,23,3,ライフサイエンス,2,1,3,1,3,2,FALSE,2007-05-09,
33,男性,既婚,営業,営業幹部,6146,2,8,0,1,13,3,FALSE,なし,22,2,マーケティング,2,3,2,3,1,4,FALSE,2010-03-05,
56,女性,既婚,研究開発,リサーチサイエンティスト,4963,1,7,9,3,18,3,TRUE,たまに,14,4,ライフサイエンス,2,3,2,2,1,3,TRUE,2006-06-13,2012-02-05
51,男性,独身,研究開発,リサーチディレクター,19537,5,23,7,0,13,3,FALSE,たまに,6,3,ライフサイエンス,5,3,3,1,3,3,FALSE,1997-07-10,
31,男性,既婚,営業,営業幹部,6172,2,12,4,0,18,3,TRUE,たまに,6,4,ライフサイエンス,3,1,3,2,2,2,TRUE,2005-02-09,2012-08-08
26,女性,既婚,研究開発,リサーチサイエンティスト,2368,1,5,1,0,19,3,FALSE,たまに,6,3,その他,3,2,2,3,3,2,FALSE,2012-08-16,
58,女性,既婚,研究開発,ヘルスケア担当,10312,3,40,1,1,12,3,FALSE,たまに,23,4,医療,3,3,4,4,4,2,TRUE,1977-06-13,2017-11-24
19,男性,独身,営業,営業担当,1675,1,0,1,0,19,3,TRUE,たまに,22,1,マーケティング,2,3,3,4,4,2,TRUE,2010-06-10,2011-04-03
22,男性,既婚,研究開発,ラボ技術者,2523,1,3,0,1,14,3,FALSE,たまに,2,1,技術系,2,3,4,3,3,3,FALSE,2015-01-28,
49,女性,既婚,研究開発,製造ディレクター,6567,2,16,1,0,14,3,FALSE,たまに,20,4,医療,2,3,1,3,3,2,FALSE,2002-11-09,
43,女性,独身,研究開発,リサーチサイエンティスト,4739,1,18,4,0,12,3,FALSE,頻繁,28,3,医療,2,4,3,2,4,3,FALSE,2014-04-03,
50,女性,独身,営業,営業幹部,9208,3,16,4,0,11,3,FALSE,頻繁,12,3,マーケティング,3,3,4,3,4,3,FALSE,2015-01-11,
31,女性,既婚,営業,営業幹部,4559,2,4,3,1,11,3,TRUE,たまに,20,3,ライフサイエンス,2,1,3,2,3,3,TRUE,2014-07-05,2017-06-25
41,男性,離婚,営業,営業幹部,8189,3,12,3,1,13,3,TRUE,たまに,9,1,ライフサイエンス,2,3,3,3,3,3,FALSE,2008-08-26,
26,女性,既婚,人事,人事,2942,1,8,1,1,23,4,FALSE,たまに,25,1,ライフサイエンス,3,3,3,3,4,3,FALSE,2009-08-11,
36,男性,離婚,研究開発,製造ディレクター,4941,2,7,6,2,20,4,FALSE,たまに,6,2,医療,0,3,2,2,4,3,FALSE,2014-01-19,
51,男性,独身,研究開発,製造ディレクター,10650,3,18,2,0,15,3,FALSE,頻繁,8,4,ライフサイエンス,2,1,4,1,4,3,TRUE,2011-11-21,2015-12-29
39,女性,既婚,営業,営業幹部,5902,2,17,4,1,14,3,FALSE,たまに,4,4,ライフサイエンス,1,2,3,4,3,4,FALSE,2002-01-25,
25,男性,既婚,営業,営業幹部,8639,2,6,2,0,18,3,FALSE,たまに,28,3,ライフサイエンス,3,2,3,1,4,3,FALSE,2015-08-29,
30,男性,既婚,人事,人事,6347,2,12,0,0,19,3,TRUE,たまに,9,3,人事,2,3,4,3,4,1,FALSE,2006-06-21,
32,女性,独身,研究開発,ラボ技術者,4200,1,10,7,0,22,4,FALSE,たまに,9,3,医療,2,3,1,1,1,4,TRUE,2009-05-20,2014-12-03
45,男性,独身,研究開発,リサーチサイエンティスト,3452,1,9,5,0,13,3,FALSE,たまに,29,3,医療,2,3,4,3,2,2,FALSE,2011-04-16,
38,女性,独身,研究開発,リサーチサイエンティスト,4317,2,19,3,0,20,4,TRUE,たまに,3,5,技術系,2,3,3,4,2,3,FALSE,2014-08-07,
30,女性,独身,研究開発,リサーチサイエンティスト,2632,1,5,1,0,14,3,FALSE,たまに,18,3,ライフサイエンス,4,3,3,1,3,2,FALSE,2012-11-06,
32,男性,離婚,営業,営業幹部,4668,2,9,0,3,17,3,FALSE,頻繁,9,2,医療,2,1,4,4,4,4,FALSE,2009-08-30,
30,女性,離婚,研究開発,リサーチサイエンティスト,3204,1,8,5,1,14,3,FALSE,たまに,5,3,技術系,3,3,1,4,4,3,FALSE,2014-05-18,
30,男性,独身,研究開発,ラボ技術者,2720,1,6,0,0,13,3,FALSE,たまに,2,1,医療,3,2,4,2,4,3,FALSE,2012-12-11,
41,男性,離婚,研究開発,マネージャー,17181,4,21,4,1,13,3,FALSE,頻繁,10,3,ライフサイエンス,2,2,1,4,2,2,FALSE,2010-02-25,
41,男性,既婚,研究開発,ラボ技術者,2238,1,7,2,1,21,4,FALSE,たまに,9,4,ライフサイエンス,2,3,1,3,4,3,FALSE,2012-10-16,
19,女性,独身,研究開発,ラボ技術者,1483,1,1,1,0,14,3,FALSE,たまに,3,1,医療,3,3,2,2,4,3,FALSE,2016-03-27,
40,女性,離婚,研究開発,リサーチサイエンティスト,5605,2,20,1,1,11,3,FALSE,頻繁,26,3,医療,2,3,2,2,1,3,FALSE,1997-11-13,
35,男性,既婚,営業,営業幹部,7295,3,10,1,2,13,3,FALSE,たまに,1,5,マーケティング,3,3,2,3,1,3,FALSE,2007-09-05,
53,男性,既婚,営業,営業担当,2306,2,13,2,1,20,4,TRUE,たまに,6,2,マーケティング,3,3,3,2,4,1,FALSE,2010-05-20,
45,男性,離婚,研究開発,ラボ技術者,2348,2,20,8,1,18,3,FALSE,たまに,9,3,ライフサイエンス,2,3,2,2,3,1,FALSE,2000-09-30,
32,女性,独身,営業,営業幹部,8998,3,9,1,0,14,3,FALSE,頻繁,8,3,マーケティング,2,3,4,2,4,3,FALSE,2008-05-14,
29,男性,既婚,研究開発,製造ディレクター,4319,2,10,1,1,13,3,FALSE,なし,1,1,技術系,1,3,3,4,1,3,FALSE,2007-07-09,
51,男性,既婚,研究開発,製造ディレクター,6132,2,10,2,0,17,3,FALSE,たまに,7,4,医療,2,2,3,2,3,3,FALSE,2016-01-25,
58,女性,既婚,研究開発,リサーチサイエンティスト,3346,1,9,4,1,20,4,TRUE,たまに,9,3,医療,3,2,2,2,2,2,FALSE,2016-02-23,
40,男性,既婚,営業,営業幹部,10855,3,15,7,1,11,3,FALSE,たまに,4,4,マーケティング,2,2,4,3,1,2,FALSE,2005-08-19,
34,女性,既婚,営業,営業担当,2231,1,6,6,1,18,3,FALSE,頻繁,2,4,マーケティング,3,3,3,3,4,3,FALSE,2013-09-09,
22,男性,既婚,研究開発,リサーチサイエンティスト,2323,1,2,1,2,24,4,FALSE,たまに,19,1,医療,6,3,4,3,1,3,FALSE,2015-03-05,
27,男性,離婚,研究開発,リサーチサイエンティスト,2024,1,6,6,1,18,3,FALSE,なし,9,3,医療,1,3,2,4,4,1,FALSE,2015-07-21,
28,男性,既婚,研究開発,リサーチサイエンティスト,2713,1,5,1,1,11,3,FALSE,たまに,21,3,医療,2,3,4,3,3,1,FALSE,2012-09-08,
57,男性,離婚,研究開発,ヘルスケア担当,9439,3,12,3,1,16,3,TRUE,たまに,24,2,ライフサイエンス,2,4,4,3,2,1,FALSE,2012-11-27,
27,男性,離婚,研究開発,リサーチサイエンティスト,2566,1,1,1,1,15,3,TRUE,なし,3,3,医療,2,2,3,3,4,2,FALSE,2016-12-09,
50,女性,独身,研究開発,マネージャー,19926,5,21,3,0,15,3,FALSE,たまに,11,3,ライフサイエンス,5,3,2,3,2,3,FALSE,2012-04-24,
41,男性,離婚,研究開発,リサーチサイエンティスト,2451,1,13,4,1,12,3,FALSE,たまに,14,3,ライフサイエンス,2,3,3,1,1,3,FALSE,2008-05-02,
30,女性,既婚,営業,営業幹部,9419,3,12,2,1,12,3,FALSE,たまに,5,3,ライフサイエンス,2,3,4,2,3,3,FALSE,2007-02-06,
