年度,名称,所属団体名,発生時期,地点住所,交通状況,概要,情報,緯度,経度
令和3年,ヒヤリハット地点,荏原三丁目町会,令和３年・平日,荏原３丁目１番１１号付近,,荏原３丁目方面に向かう小山２丁目・荏原２丁目に挟まれた狭い道が鋭角で見通しが悪い。加えて自転車の交通量も多く道を抜ける際に自転車と衝突する危険性が高い。,,35.61841655,139.7083461
令和3年,ヒヤリハット地点,荏原三丁目町会,,荏原３丁目８番１２号,,路上駐車が多く、自転車の通行も多い。２６号線との交差点で人も多く、何度も危ない場面を見た。,,35.61711954,139.7064248
令和3年,ヒヤリハット地点,品川区新聞販売同業組合,,西五反田６丁目２２番３号,自動車とバイク,見通しが悪く、出合頭でぶつかりそうになった。,,35.62014705,139.716689
令和3年,ヒヤリハット地点,品川区新聞販売同業組合,,小山２丁目２番３号付近,バイク同士,見通しが悪く、出合頭にぶつかりそうになった。,,35.6224964,139.708724
令和3年,ヒヤリハット地点,上神明小学校,令和２年５月頃・８時頃,二葉４丁目３番１２号,,信号のない交差点（横断歩道あり）で、車の一時停止がなくヒヤリとした。,,35.60230673,139.7146733
令和3年,安全安心総点検,御殿山小学校４,,,,道が広くないが、車がよく通る。,,35.62360387,139.7312813
令和3年,安全安心総点検,日野学園,,,,信号機がなく、車の速度が上がりやすい。,,35.62385755,139.7267826
令和3年,安全安心総点検,第一日野小学校１,,,,車や自転車がスピードを出して侵入する。歩行者用信号が短い。,,35.62519513,139.7186137
令和3年,安全安心総点検,第四日野小学校４,,,,車の通りがあり、交差が複雑なため危険である。,,35.62580986,139.71313
令和3年,安全安心総点検,御殿山小学校２,,,,反対側に比べ、ガードレールがほぼない。途中は信号のない横断歩道で危ない。,,35.62116928,139.7317562
令和3年,安全安心総点検,城南小学校１,,,,道が細く、交差点として認識することが難しい。,,35.61325902,139.7444269
令和3年,安全安心総点検,戸越小学校５,,,,交通量が多く、児童の通行も多い。,,35.61248157,139.7215599
令和3年,安全安心総点検,戸越小学校８,,,,見通しが悪い。,,35.61219315,139.7191771
令和3年,安全安心総点検,宮前小学校３,,,,人通り、自転車、バイク等時間帯によって車も多く横断が危険である。,,35.61405203,139.7177638
令和3年,安全安心総点検,宮前小学校１,,,,車、人通りが大変多いので横断時に危険である。,,35.61487581,139.7187878
令和3年,安全安心総点検,京陽小学校３,,,,橋の上の道路の歩道の白線が消えている。,,35.61796315,139.7176267
令和3年,安全安心総点検,京陽小学校１,,,,横断歩道前の「とまれ」の道路標示が消えかかっている。,,35.61748279,139.7129572
令和3年,安全安心総点検,京陽小学校２,,,,一方通行出口が狭い。線の内側を気をつけて歩くよう指導する。,,35.61725397,139.713089
令和3年,安全安心総点検,京陽小学校５,,,,校門を出たところに「とまれ」の道路標示がない。,,35.614779,139.7136622
令和3年,安全安心総点検,京陽小学校４,,,,スクールゾーンの表示が消えかかっている。自転車用レーンに駐車している車両が多い。,,35.61261113,139.7136654
令和3年,安全安心総点検,小山小学校２,,,,アーケードでつながっており、交差点の止まれを見落としやすい。,,35.61869605,139.7031503
令和3年,安全安心総点検,小山小学校１,,,,道路が五方向に分かれており、ゆるい坂になっているので自転車などスピードを出しやすい。,,35.6148463,139.7026834
令和3年,安全安心総点検,清水台小学校１,,,,中原街道に抜ける坂道で児童が横断するときに注意が必要である。坂を下る車両からは「止まれ」の路面標示が認識しづらい。,,35.60680393,139.7022672
令和3年,安全安心総点検,清水台小学校２,,,,下り坂の歩道を自転車がスピードを出したままで降りてくるため、児童は歩道橋を降りて歩道の左側へ寄るときは、必ず振り返って自転車等が来ないかを確かめる必要がある。,,35.60671075,139.7021096
令和3年,安全安心総点検,清水台小学校３,,,,下り坂の歩道を自転車がスピードを出したままで降りてくるため、児童は歩道右側から歩道橋に上がるときは、必ず振り返って自転車等が来ないかを確かめる必要がある。,,35.60653187,139.7021012
令和3年,安全安心総点検,戸越小学校６,,,,渡る児童が多い。,,35.61145847,139.7203084
令和3年,安全安心総点検,戸越小学校７,,,,長い直線のため、車が速度を落とさずに走る。,,35.61063576,139.7203972
令和3年,安全安心総点検,城南小学校13,,,,歩道と車道の区別が白線しかなく、歩道を自転車がスピードを出して走って来るので、下校時自転車と児童がぶつかる事故が起こった。,,35.61245865,139.7441124
令和3年,安全安心総点検,城南小学校11,,,,車の交通量が多い。,,35.61064855,139.7441757
令和3年,安全安心総点検,立会小学校１,,,,幹線道路のため交通量が多い交差点である。,,35.60365564,139.7405653
令和3年,安全安心総点検,立会小学校２,,,,歩道が狭く、信号待ちのスペースが十分にない。,,35.60504155,139.7378654
令和3年,安全安心総点検,大井第一小学校３,,,,三叉路で見通し悪い、車がスピードを出す。,,35.60094553,139.7335339
令和3年,安全安心総点検,源氏前小学校４,,,,国道と抜け道との合流地点のため通行台数が多いが信号機が無い。,,35.60368142,139.7130655
令和3年,安全安心総点検,源氏前小学校１,,,,車が交差して通る場所で通行台数が非常に多いが信号機が無く道幅が狭い。,,35.60272895,139.7121821
令和3年,安全安心総点検,源氏前小学校２,,,,国道への向け道で通行台数が多が横断帯も信号機もない。十字路で死角になる。,,35.60378801,139.7123382
令和3年,安全安心総点検,源氏前小学校３,,,,十字路で見通しが悪く、進入禁止の時間帯でも進入車がある。,,35.60395834,139.7109625
令和3年,安全安心総点検,源氏前小学校５,,,,国道へ向かう道と交差する地点。通行台数や人などの往来が非常に多いが信号機が無い。,,35.60290679,139.7111568
令和3年,安全安心総点検,源氏前小学校６,,,,道幅が狭く見通しが悪い。自動車の通行が可能だが歩道帯が無い。,,35.60508818,139.710365
令和3年,安全安心総点検,清水台小学校５,,,,負傷事故が多く、ヒヤリハット箇所でもある。,,35.60491188,139.6993529
令和3年,安全安心総点検,伊藤小学校１,,,,坂道の出口。車止めがあるが、児童が飛び出しやすい。車止め設置前は、交通事故があった。,,35.59849898,139.7179263
令和3年,安全安心総点検,伊藤小学校２,,,,信号機のない丁字路。過去にヒヤリハット事例があった箇所である。,,35.59995235,139.7189229
令和3年,安全安心総点検,大井第一小学校１,,,,車より自転車の速度が速く、歩行者が危険である。,,35.59612119,139.7310958
令和3年,安全安心総点検,鈴ヶ森小学校１,,,,不法投棄によるごみの散乱が見られる。,,35.59391486,139.7365296
令和3年,安全安心総点検,鈴ヶ森小学校２,,,,ベンチに路上生活者等が多く、ゴミも散乱している。,,35.59167749,139.7304007
令和3年,安全安心総点検,大井第一小学校２,,,,カーブでやや坂になっており、見通しが悪く危険である。,,35.59483114,139.7285396
令和4年,ヒヤリハット地点,後地小学校01,,荏原1-19-3,自動車と歩行者、自動車と自転車、自動車同士,路上駐車が多い。制限速度を守らず走行する自動車や、横断歩道で一時停止しない自動車が多い。,,35.61988157,139.7145122
令和4年,ヒヤリハット地点,後地小学校02,令和４年１月　平日９時頃,荏原4-5-28,自動車と歩行者、自動車と自転車,貨物自動車が赤信号を無視して交差点に進入した。,,35.61604919,139.7080068
令和4年,ヒヤリハット地点,後地小学校03,,小山2-7-14,自動車と歩行者,右折車両の速度が速く、信号待ちの子どもとの接触の危険がある。,,35.62049381,139.7078236
令和4年,ヒヤリハット地点,後地小学校07,令和４年６月　平日１５時頃,校門前,自動車と歩行者,自動車が制限速度を超過した状態で校門前を通過した。,,35.62139868,139.7090173
令和4年,ヒヤリハット地点,後地小学校08,令和４年９月　休日１４時頃,小山3-24-14,自転車と歩行者,フードデリバリーの自転車と接触の危険があった。,,35.61912106,139.7043137
令和4年,ヒヤリハット地点,後地小学校10,,小山2-3-8,自動車と歩行者,丁字路を飛び出した子どもと自動車が接触しそうになった。,,35.62233579,139.709174
令和4年,ヒヤリハット地点,後地小学校05,,小山2-6-16,自転車と歩行者,横断歩道で車両が一時停止をしない。,,35.62082029,139.7069615
令和4年,ヒヤリハット地点,後地小学校11,令和４年春　平日１７時頃,荏原1-25-8,自動車と歩行者,脇道から飛び出した子どもと自動車が接触しそうになった。,,35.62004853,139.7124983
令和4年,ヒヤリハット地点,後地小学校04,,小山2-6-13,,平塚橋方向から左折する車両から横断歩行者が見えにくく危険。,,35.62058881,139.7075094
令和4年,ヒヤリハット地点,後地小学校06,平日８時頃,小山2-6-14付近,自動車と歩行者,路上駐車が多く歩行者の通行の妨げになっている。,,35.62068332,139.7073823
令和4年,ヒヤリハット地点,後地小学校09,令和４年９月　休日１４時頃,小山3-24-7,自転車と歩行者,フードデリバリーの自転車と接触の危険があった。,,35.61873398,139.7047917
令和4年,ヒヤリハット地点,二葉二丁目町会,,二葉2-2-26,歩行者と自転車,脇道から飛び出す通学児童が自転車と接触する危険がある。,,35.60644179,139.7242711
令和4年,ヒヤリハット地点,浜川小学校01,令和４年１０月　平日１５時頃,勝島1-3-29,自動車と歩行者,青信号で横断する歩行者と区立わかくさ公園から来た自動車との接触の危険があった。,,35.59827354,139.7428757
令和4年,ヒヤリハット地点,浜川小学校02,令和４年１０月　休日１６時頃,大井5-21-6付近,自転車と自転車,見通しが悪い交差点で、自転車同士の接触の危険がある。,,35.60505179,139.7354773
令和4年,ヒヤリハット地点,豊葉の杜学園01,,二葉2-10-6,自転車と歩行者、自転車同士,自転車の往来が多く、交差点で一時停止をしない自転車が多い。,,35.60476582,139.7239354
令和4年,ヒヤリハット地点,豊葉の杜学園02,,二葉2-2-10,自動車と歩行者、自転車と歩行者,坂の上から降りてくる自転車と歩行者が接触する危険があった。,,35.6056292,139.7255319
令和4年,ヒヤリハット地点,豊葉の杜学園03,,二葉2-13-10,自動車と歩行者,横断歩道で一時停止しない自動車が多い。,,35.60415544,139.7242798
令和4年,ヒヤリハット地点,豊葉の杜学園04,,二葉3-18-3,自動車と歩行者、自動車と自転車,高架下が狭く、自動車や自転車との接触の危険がある。,,35.60434561,139.722773
令和4年,ヒヤリハット地点,豊葉の杜学園05,,二葉3-17-8付近,自動車と歩行者、自動車と自転車,建物で見通しが悪く、道幅も狭いため危険である。,,35.60404538,139.7221089
令和4年,ヒヤリハット地点,豊葉の杜学園06,,二葉1-13-16付近,自動車と歩行者、自転車と歩行者、自動車と自転車,坂の上から降りてくる自転車と歩行者が接触する危険があった。,,35.60588714,139.7253348
令和4年,ヒヤリハット地点,豊葉の杜学園07,,豊町3-10-3,自動車と歩行者、自動車と自転車,自転車や歩行者の通行が多く、豊町トンネルから入ってくる自動車と接触する危険がある。,,35.60879007,139.72338
令和4年,ヒヤリハット地点,豊葉の杜学園08,,二葉1-18-8付近,自動車と歩行者、自動車と自転車,角にある駐車場からの車の出入りが多く、通学中の子どもと接触する危険がある。,,35.60719675,139.7295811
令和4年,ヒヤリハット地点,豊葉の杜学園09,,二葉1-23-14付近,自動車と歩行者、自転車と歩行者,坂道で左右の見通しが悪く、立会道路を走行する自転車との接触の危険がある。,,35.6053988,139.7277614
令和4年,ヒヤリハット地点,豊葉の杜学園10,,二葉1-7-20付近,自動車と歩行者、自動車と自転車,坂の上から速度を上げて走行する自転車や、区役所側からの自動車が多く、歩行者との接触の危険がある。,,35.60837155,139.7282707
令和4年,ヒヤリハット地点,新聞販売同業組合01,,南品川3-7-7付近,自動車と歩行者,横断歩道がない場所を横断する歩行者が多く危険。,,35.607394,139.7452753
令和4年,ヒヤリハット地点,新聞販売同業組合02,令和４年９月　平日１５時頃,豊町4-1-5付近,自動車と自転車,一時停止を無視する自転車が多く危険。,,35.60724833,139.7193279
令和4年,ヒヤリハット地点,新聞販売同業組合03,令和４年８月　平日１３時頃,二葉3-22-2付近,自動車と歩行者,駅方面へ曲がる自動車が歩道に入りながら走行しており、歩行者と接触の危険がある。,,35.60316282,139.7217425
令和4年,ヒヤリハット地点,新聞販売同業組合04,,北品川2-26-1付近,,一方通行を逆走する自動車が多く危険。,,35.6186138,139.7452678
令和4年,ヒヤリハット地点,新聞販売同業組合05,,東品川2-2-17付近,,右折レーンにおいて自動車がバイクを追い抜いて右折しており危険。,,35.62202102,139.7509365
令和4年,ヒヤリハット地点,第一日野小学校01,,西五反田6-18-31付近,自動車と歩行者,横断歩道のない道路を横断しようとする子どもが多く、自動車と接触する危険がある。,,35.62123937,139.7153766
令和4年,ヒヤリハット地点,第一日野小学校02,令和３年６月　平日１５時頃,西五反田6-18-33付近,自動車と歩行者,自動車と歩行者の接触の危険がある。,,35.62155944,139.7154561
令和4年,ヒヤリハット地点,第一日野小学校03,令和３年９月　平日１７時頃,西五反田6-12-4付近,自動車と歩行者,一方通行を自動車が速度を上げて走行するため、歩行者との接触の危険がある。,,35.62049331,139.7175875
令和4年,ヒヤリハット地点,戸越小学校,令和４年７月　１５時頃,戸越5-8-5付近,自動車と自動車,トンネルの出入口付近において、接触の危険がある。,,35.61008016,139.720441
令和5年,ヒヤリハット地点,豊葉の杜学園01,令和5年5月頃,品川区二葉1-3-40付近,自転車と歩行者,車道（一方通行）の狭い道路のため、自転車が歩道を通行している。校門前（大階段前）の歩道については、自転車が歩道を走っていて、通学・通園の歩行者と接触しそうになり危険。,,35.60746141670,139.72535111100
令和5年,ヒヤリハット地点,新聞販売同業組合01,,南大井6-24-14付近,,横断歩道の無いところを渡る人が多い。,,35.58938861110,139.72984916700
令和5年,ヒヤリハット地点,新聞販売同業組合02,令和5年9月頃,南大井4丁目5番付近,自動車と自動車,赤信号で停車中、向かい車線に入って逆走し前に行くバイク等が多い。,,35.59729280560,139.73686472200
令和5年,ヒヤリハット地点,新聞販売同業組合03,,南品川1-4-25付近,自動車とバイク,品川橋側の橋の手すりや灯篭が死角となり、橋を渡る車や歩行者に気付きにくい。,,35.61676180560,139.74452444400
令和5年,ヒヤリハット地点,品川学園01,令和5年9月頃,南品川4丁目2番付近,自動車と自転車,南品川4丁目2番の川沿いの道から自動車で左折する際、川沿いの歩行者等が見えづらい状況がある。,,35.61577683330,139.73832444400
